task,dataset,model,device,runtime,precision,cell,metric,Q,chance,latency_ms,param_count,gmacs,source
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,249.0,0,,llm-perf-task
LLM BBH,BBH,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.049875,0.0,2779.0,12,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.016616,0.0,2779.0,12,,llm-perf-task
LLM MuSR,MuSR,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.037872,0.0,2779.0,12,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.012079,0.0,2779.0,12,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.3148,0.25,2782.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.4905,0.25,2782.0,0,,llm-perf-task
LLM MMLU,MMLU,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.3935,0.25,2782.0,0,,llm-perf-task
LLM Winogrande,Winogrande,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.5722,0.5,2782.0,0,,llm-perf-task
LLM GSM8K,GSM8K,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.163,0.0,2782.0,0,,llm-perf-task
LLM IFEval,IFEval,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.170561,0.0,2782.0,0,,llm-perf-task
LLM BBH,BBH,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.050355,0.0,2782.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.017372,0.0,2782.0,0,,llm-perf-task
LLM GPQA,GPQA,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.005593,0.0,2782.0,0,,llm-perf-task
LLM MuSR,MuSR,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.043031,0.0,2782.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.03415,0.0,2782.0,0,,llm-perf-task
LLM IFEval,IFEval,google/gemma-2-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.200536,0.0,2785.0,2,,llm-perf-task
LLM BBH,BBH,google/gemma-2-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.121266,0.0,2785.0,2,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,google/gemma-2-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.029456,0.0,2785.0,2,,llm-perf-task
LLM GPQA,GPQA,google/gemma-2-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.016779,0.0,2785.0,2,,llm-perf-task
LLM MuSR,MuSR,google/gemma-2-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.113491,0.0,2785.0,2,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,google/gemma-2-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.133145,0.0,2785.0,2,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,microsoft/Phi-3-mini-4k-instruct,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.6297,0.25,2801.0,3,,llm-perf-task
LLM HellaSwag,HellaSwag,microsoft/Phi-3-mini-4k-instruct,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.806,0.25,2801.0,3,,llm-perf-task
LLM MMLU,MMLU,microsoft/Phi-3-mini-4k-instruct,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.6908,0.25,2801.0,3,,llm-perf-task
LLM Winogrande,Winogrande,microsoft/Phi-3-mini-4k-instruct,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.7238,0.5,2801.0,3,,llm-perf-task
LLM GSM8K,GSM8K,microsoft/Phi-3-mini-4k-instruct,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.7453,0.0,2801.0,3,,llm-perf-task
LLM IFEval,IFEval,microsoft/Phi-3-mini-4k-instruct,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.554482,0.0,2801.0,3,,llm-perf-task
LLM BBH,BBH,microsoft/Phi-3-mini-4k-instruct,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.379146,0.0,2801.0,3,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,microsoft/Phi-3-mini-4k-instruct,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.140106,0.0,2801.0,3,,llm-perf-task
LLM GPQA,GPQA,microsoft/Phi-3-mini-4k-instruct,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.10123,0.0,2801.0,3,,llm-perf-task
LLM MuSR,MuSR,microsoft/Phi-3-mini-4k-instruct,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.103815,0.0,2801.0,3,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,microsoft/Phi-3-mini-4k-instruct,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.327118,0.0,2801.0,3,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.3788,0.25,2805.0,1,,llm-perf-task
LLM HellaSwag,HellaSwag,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.6142,0.25,2805.0,1,,llm-perf-task
LLM MMLU,MMLU,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.4671,0.25,2805.0,1,,llm-perf-task
LLM Winogrande,Winogrande,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.603,0.5,2805.0,1,,llm-perf-task
LLM GSM8K,GSM8K,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.3359,0.0,2805.0,1,,llm-perf-task
LLM IFEval,IFEval,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.215424,0.0,2805.0,1,,llm-perf-task
LLM BBH,BBH,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.097599,0.0,2805.0,1,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.031722,0.0,2805.0,1,,llm-perf-task
LLM GPQA,GPQA,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.073826,0.0,2805.0,1,,llm-perf-task
LLM MuSR,MuSR,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.039638,0.0,2805.0,1,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.097961,0.0,2805.0,1,,llm-perf-task
LLM IFEval,IFEval,google/gemma-2-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.200536,0.0,2827.0,2,,llm-perf-task
LLM BBH,BBH,google/gemma-2-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.121266,0.0,2827.0,2,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,google/gemma-2-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.029456,0.0,2827.0,2,,llm-perf-task
LLM GPQA,GPQA,google/gemma-2-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.016779,0.0,2827.0,2,,llm-perf-task
LLM MuSR,MuSR,google/gemma-2-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.113491,0.0,2827.0,2,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,google/gemma-2-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.133145,0.0,2827.0,2,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,google/recurrentgemma-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.39165,0.25,2836.0,2,,llm-perf-task
LLM HellaSwag,HellaSwag,google/recurrentgemma-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.64685,0.25,2836.0,2,,llm-perf-task
LLM MMLU,MMLU,google/recurrentgemma-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.34495,0.25,2836.0,2,,llm-perf-task
LLM Winogrande,Winogrande,google/recurrentgemma-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.6839,0.5,2836.0,2,,llm-perf-task
LLM GSM8K,GSM8K,google/recurrentgemma-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.1592,0.0,2836.0,2,,llm-perf-task
LLM IFEval,IFEval,google/recurrentgemma-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.301703,0.0,2836.0,2,,llm-perf-task
LLM BBH,BBH,google/recurrentgemma-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.048204,0.0,2836.0,2,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,google/recurrentgemma-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.020393,0.0,2836.0,2,,llm-perf-task
LLM MuSR,MuSR,google/recurrentgemma-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.031049,0.0,2836.0,2,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,google/recurrentgemma-2b,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.019559,0.0,2836.0,2,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.3148,0.25,2844.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.4905,0.25,2844.0,0,,llm-perf-task
LLM MMLU,MMLU,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.3935,0.25,2844.0,0,,llm-perf-task
LLM Winogrande,Winogrande,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.5722,0.5,2844.0,0,,llm-perf-task
LLM GSM8K,GSM8K,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.163,0.0,2844.0,0,,llm-perf-task
LLM IFEval,IFEval,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.170561,0.0,2844.0,0,,llm-perf-task
LLM BBH,BBH,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.050355,0.0,2844.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.017372,0.0,2844.0,0,,llm-perf-task
LLM GPQA,GPQA,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.005593,0.0,2844.0,0,,llm-perf-task
LLM MuSR,MuSR,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.043031,0.0,2844.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,Qwen/Qwen1.5-0.5B,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.03415,0.0,2844.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.3959,0.25,2847.0,12,,llm-perf-task
LLM HellaSwag,HellaSwag,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.6882,0.25,2847.0,12,,llm-perf-task
LLM MMLU,MMLU,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.2676,0.25,2847.0,12,,llm-perf-task
LLM Winogrande,Winogrande,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.6417,0.5,2847.0,12,,llm-perf-task
LLM GSM8K,GSM8K,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.0174,0.0,2847.0,12,,llm-perf-task
LLM IFEval,IFEval,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.247148,0.0,2847.0,12,,llm-perf-task
LLM BBH,BBH,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.049875,0.0,2847.0,12,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.016616,0.0,2847.0,12,,llm-perf-task
LLM MuSR,MuSR,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.037872,0.0,2847.0,12,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.012079,0.0,2847.0,12,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.3788,0.25,2863.0,1,,llm-perf-task
LLM HellaSwag,HellaSwag,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.6142,0.25,2863.0,1,,llm-perf-task
LLM MMLU,MMLU,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.4671,0.25,2863.0,1,,llm-perf-task
LLM Winogrande,Winogrande,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.603,0.5,2863.0,1,,llm-perf-task
LLM GSM8K,GSM8K,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.3359,0.0,2863.0,1,,llm-perf-task
LLM IFEval,IFEval,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.215424,0.0,2863.0,1,,llm-perf-task
LLM BBH,BBH,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.097599,0.0,2863.0,1,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.031722,0.0,2863.0,1,,llm-perf-task
LLM GPQA,GPQA,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.073826,0.0,2863.0,1,,llm-perf-task
LLM MuSR,MuSR,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.039638,0.0,2863.0,1,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,Qwen/Qwen1.5-1.8B,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.097961,0.0,2863.0,1,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,google/gemma-7b,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.6109,0.25,2876.0,8,,llm-perf-task
LLM HellaSwag,HellaSwag,google/gemma-7b,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.82335,0.25,2876.0,8,,llm-perf-task
LLM MMLU,MMLU,google/gemma-7b,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.65295,0.25,2876.0,8,,llm-perf-task
LLM Winogrande,Winogrande,google/gemma-7b,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.7873,0.5,2876.0,8,,llm-perf-task
LLM GSM8K,GSM8K,google/gemma-7b,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.5182,0.0,2876.0,8,,llm-perf-task
LLM IFEval,IFEval,google/gemma-7b,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.265932,0.0,2876.0,8,,llm-perf-task
LLM BBH,BBH,google/gemma-7b,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.211161,0.0,2876.0,8,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,google/gemma-7b,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.074018,0.0,2876.0,8,,llm-perf-task
LLM GPQA,GPQA,google/gemma-7b,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.049217,0.0,2876.0,8,,llm-perf-task
LLM MuSR,MuSR,google/gemma-7b,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.109799,0.0,2876.0,8,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,google/gemma-7b,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.216441,0.0,2876.0,8,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.3959,0.25,2901.0,12,,llm-perf-task
LLM HellaSwag,HellaSwag,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.6882,0.25,2901.0,12,,llm-perf-task
LLM MMLU,MMLU,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.2676,0.25,2901.0,12,,llm-perf-task
LLM Winogrande,Winogrande,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.6417,0.5,2901.0,12,,llm-perf-task
LLM GSM8K,GSM8K,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.0174,0.0,2901.0,12,,llm-perf-task
LLM IFEval,IFEval,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.247148,0.0,2901.0,12,,llm-perf-task
LLM BBH,BBH,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.049875,0.0,2901.0,12,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.016616,0.0,2901.0,12,,llm-perf-task
LLM MuSR,MuSR,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.037872,0.0,2901.0,12,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,EleutherAI/pythia-12b,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.012079,0.0,2901.0,12,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,microsoft/phi-1_5,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.529,0.25,2903.0,1,,llm-perf-task
LLM HellaSwag,HellaSwag,microsoft/phi-1_5,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.6379,0.25,2903.0,1,,llm-perf-task
LLM MMLU,MMLU,microsoft/phi-1_5,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.4389,0.25,2903.0,1,,llm-perf-task
LLM Winogrande,Winogrande,microsoft/phi-1_5,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.7222,0.5,2903.0,1,,llm-perf-task
LLM GSM8K,GSM8K,microsoft/phi-1_5,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.1243,0.0,2903.0,1,,llm-perf-task
LLM IFEval,IFEval,microsoft/phi-1_5,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.203284,0.0,2903.0,1,,llm-perf-task
LLM BBH,BBH,microsoft/phi-1_5,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.074689,0.0,2903.0,1,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,microsoft/phi-1_5,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.018127,0.0,2903.0,1,,llm-perf-task
LLM GPQA,GPQA,microsoft/phi-1_5,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.02349,0.0,2903.0,1,,llm-perf-task
LLM MuSR,MuSR,microsoft/phi-1_5,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.033854,0.0,2903.0,1,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,microsoft/phi-1_5,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.076814,0.0,2903.0,1,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.5939,0.25,2910.0,13,,llm-perf-task
LLM HellaSwag,HellaSwag,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.8213,0.25,2910.0,13,,llm-perf-task
LLM MMLU,MMLU,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.5577,0.25,2910.0,13,,llm-perf-task
LLM Winogrande,Winogrande,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.7664,0.5,2910.0,13,,llm-perf-task
LLM GSM8K,GSM8K,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.2282,0.0,2910.0,13,,llm-perf-task
LLM IFEval,IFEval,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.248247,0.0,2910.0,13,,llm-perf-task
LLM BBH,BBH,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.172226,0.0,2910.0,13,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.015106,0.0,2910.0,13,,llm-perf-task
LLM GPQA,GPQA,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.041387,0.0,2910.0,13,,llm-perf-task
LLM MuSR,MuSR,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.033854,0.0,2910.0,13,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.153092,0.0,2910.0,13,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | ARC-Challenge,ARC-Challenge,0.5939,0.25,2912.0,13,,llm-perf-task
LLM HellaSwag,HellaSwag,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | HellaSwag,HellaSwag,0.8213,0.25,2912.0,13,,llm-perf-task
LLM MMLU,MMLU,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU,MMLU,0.5577,0.25,2912.0,13,,llm-perf-task
LLM Winogrande,Winogrande,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | Winogrande,Winogrande,0.7664,0.5,2912.0,13,,llm-perf-task
LLM GSM8K,GSM8K,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | GSM8K,GSM8K,0.2282,0.0,2912.0,13,,llm-perf-task
LLM IFEval,IFEval,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | IFEval,IFEval,0.248247,0.0,2912.0,13,,llm-perf-task
LLM BBH,BBH,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | BBH,BBH,0.172226,0.0,2912.0,13,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | MATH Lvl 5,MATH Lvl 5,0.015106,0.0,2912.0,13,,llm-perf-task
LLM GPQA,GPQA,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | GPQA,GPQA,0.041387,0.0,2912.0,13,,llm-perf-task
LLM MuSR,MuSR,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | MuSR,MuSR,0.033854,0.0,2912.0,13,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,meta-llama/Llama-2-13b-hf,1xT4,pytorch,float16,llm-perf | 1xT4 | MMLU-PRO,MMLU-PRO,0.153092,0.0,2912.0,13,,llm-perf-task
